Altium Designer Pick and Place Locations
E:\PCB Design\PCB_Project_1\Project Outputs for PCB_Project_1\Pick Place\Pick Place for B_UN_C.txt

========================================================================================================================
File Design Information:

Date:       08-05-21
Time:       12:44
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment     Layer    Footprint      Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                                                                                                               
ZD2        ZD_15V_1W   TopLayer ZR_15V_1W      71.2070mm    28.3210mm    0        "GLOVE, POLYAMIDE, L/FREE, PU, SIZE 6 - More Details"                                                                                                                                                                                     
ZD1        ZD_15V_1W   TopLayer ZR_15V_1W      71.4610mm    19.1770mm    0        "GLOVE, POLYAMIDE, L/FREE, PU, SIZE 6 - More Details"                                                                                                                                                                                     
R27        R_33        TopLayer CF_RESISTOR_FP 71.8300mm    51.3080mm    360      "RES 33 OHM 1/2W 5% AXIAL"                                                                                                                                                                                                                
R26        R_10K       TopLayer CF_RESISTOR_FP 81.4590mm    17.9070mm    360      "RES 10K OHM 1/4W 5% AXIAL"                                                                                                                                                                                                               
R25        R_150       TopLayer CF_RESISTOR_FP 87.1220mm    5.5360mm     270      "Res Carbon Film 150 Ohm 5% 1/4W -400ppm/C to 0ppm/C Conformal AXL Thru-Hole T/R"                                                                                                                                                         
R24        R_10K       TopLayer CF_RESISTOR_FP 66.0400mm    6.6560mm     90       "RES 10K OHM 1/4W 5% AXIAL"                                                                                                                                                                                                               
R23        R_33        TopLayer CF_RESISTOR_FP 71.8300mm    57.5310mm    360      "RES 33 OHM 1/2W 5% AXIAL"                                                                                                                                                                                                                
R22        R_100K      TopLayer CF_RESISTOR_FP 43.6130mm    15.3670mm    360      "RES 100K OHM 1/4W 5% AXIAL"                                                                                                                                                                                                              
R21        R_4.7K      TopLayer R_4.7K         62.6110mm    31.3690mm    270      "RESISTOR, CERAMIC, 4.7KOHM, 2W, 10%; Product Range:OY Series; Resistance:4.7kohm; Power Rating:2W; Resistance Tolerance: 10%; Voltage Rating:400V; Resistor Case Style:Axial Leaded; Resistor Element Type:Ceramic ;RoHS Compliant: Yes" 
R20        R_150       TopLayer CF_RESISTOR_FP 58.4200mm    6.6560mm     90       "Res Carbon Film 150 Ohm 5% 1/4W -400ppm/C to 0ppm/C Conformal AXL Thru-Hole T/R"                                                                                                                                                         
R19        R_10K       TopLayer CF_RESISTOR_FP 44.7040mm    41.8350mm    270      "RES 10K OHM 1/4W 5% AXIAL"                                                                                                                                                                                                               
R18        R_10K       TopLayer CF_RESISTOR_FP 49.8590mm    51.1810mm    180      "RES 10K OHM 1/4W 5% AXIAL"                                                                                                                                                                                                               
R17        R_100K      TopLayer CF_RESISTOR_FP 51.5620mm    82.7520mm    270      "RES 100K OHM 1/4W 5% AXIAL"                                                                                                                                                                                                              
R16        R_10K       TopLayer CF_RESISTOR_FP 47.8270mm    75.0570mm    180      "RES 10K OHM 1/4W 5% AXIAL"                                                                                                                                                                                                               
R15        R_100K      TopLayer CF_RESISTOR_FP 49.9630mm    57.2770mm    180      "RES 100K OHM 1/4W 5% AXIAL"                                                                                                                                                                                                              
R14        R_150       TopLayer CF_RESISTOR_FP 79.3230mm    74.2950mm    180      "Res Carbon Film 150 Ohm 5% 1/4W -400ppm/C to 0ppm/C Conformal AXL Thru-Hole T/R"                                                                                                                                                         
R13        R_10K       TopLayer CF_RESISTOR_FP 38.9890mm    41.7080mm    90       "RES 10K OHM 1/4W 5% AXIAL"                                                                                                                                                                                                               
R12        R_100K      TopLayer CF_RESISTOR_FP 20.9949mm    5.5250mm     90       "RES 100K OHM 1/4W 5% AXIAL"                                                                                                                                                                                                              
R11        R_10K       TopLayer CF_RESISTOR_FP 30.6590mm    13.9700mm    360      "RES 10K OHM 1/4W 5% AXIAL"                                                                                                                                                                                                               
R10        R_10K       TopLayer CF_RESISTOR_FP 33.5280mm    41.5810mm    90       "RES 10K OHM 1/4W 5% AXIAL"                                                                                                                                                                                                               
R9         R_10K       TopLayer CF_RESISTOR_FP 37.3380mm    23.1660mm    90       "RES 10K OHM 1/4W 5% AXIAL"                                                                                                                                                                                                               
R8         R_100K      TopLayer CF_RESISTOR_FP 32.4370mm    73.9140mm    360      "RES 100K OHM 1/4W 5% AXIAL"                                                                                                                                                                                                              
R7         R_20K       TopLayer CF_RESISTOR_FP 21.4110mm    53.9750mm    180      "RES 20K OHM 1/2W 5% AXIAL"                                                                                                                                                                                                               
R6         R_150       TopLayer CF_RESISTOR_FP 21.5900mm    82.8560mm    90       "Res Carbon Film 150 Ohm 5% 1/4W -400ppm/C to 0ppm/C Conformal AXL Thru-Hole T/R"                                                                                                                                                         
